SCNEARIO NAMES | SUCCESS
1. ourScenario | False
2. ourScenario | False
3. ourScenario | False
4. ourScenario | False
5. ourScenario | False
6. ourScenario | False
7. ourScenario | False
8. ourScenario | False
9. OurScenario3 | True
10. OurScenario3 | True
11. OurScenario3 | True
12. OurScenario3 | True
13. OurScenario3 | False
14. OurScenario3 | False
15. OurScenario3 | True
16. OurScenario3 | True
17. OurScenario3 | True
18. OurScenario3 | True
19. OurScenario3 | True
20. OurScenario3 | False
21. OurScenario3 | True
22. OurScenario3 | False
23. OurScenario3 | True
24. OurScenario3 | False
